Borough,NTAName,SiteName,SiteAddr,Hosted_By,Open_Month,Day_Hours,Notes,Website,BoroCD,CouncilDis,ct2010,BBL,BIN,Latitude,Longitude,PolicePrec,Object ID,Location Point
Queens,Astoria (Central),SE 31st Avenue & 36th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,,,,,,114,7060,
Brooklyn,Bushwick (East),NW Central Avenue & Covert Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,6959,
Brooklyn,Crown Heights (North),NW Ralph Avenue - Bergen Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,41,,,,,,77,6845,
Bronx,University Heights (North)-Fordham,New Beginnings Community Garden,2502 Davidson Ave,New Beginnings Community Garden,Year Round,"Fridays, Saturdays, and Sundays (Start Time: Sat+Sun:2PM, Friday:5pm - End Time:  Sat.+Sun.:5pm, Friday:6pm)","Not accepted: meat, bones, or dairy",@new.beginnings.garden,207,14,,,,40.864176,-73.900932,52,7107,POINT (-73.900932 40.864176)
Bronx,Concourse-Concourse Village,NW Gerard Avenue & East 150th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,204,8,,,,,,44,6991,
Manhattan,Financial District-Battery Park City,SmartComposting: Platt & Gold Streets,Platt and Gold Streets (Southeast corner),Alliance for Downtown New York,Year Round,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",https://downtownny.com/compost/,101,1,,,,40.7077,-74.00679,1,6708,POINT (-74.00679 40.7077)
Brooklyn,Bushwick (East),NW Knickerbocker Avenue & Palmetto Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,6972,
Bronx,Fordham Heights,SE Marion Avenue & East 187th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,205,15,,,,,,46,7088,
Manhattan,Harlem (North),NW West 132 Street & Adam Clayton Powell Jr Blvd,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,110,9,,,,,,32,6791,
Manhattan,Lower East Side,Corlears Hook Park,"397 FDR Dr, New York, NY 10002 (Southeast corner of Cherry Street and Jackson Street)",NYC Compost Project Hosted by LES Ecology Center,Year Round,Thursdays (Start Time: 9:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,103,1,,,,40.712164,-73.980547,7,6727,POINT (-73.980547 40.712164)
Bronx,Soundview-Clason Point,NW Seward Avenue & Croes Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,209,18,,,,,,43,7011,
Staten Island,St. George-New Brighton,NE Richmond Terrace & Ferry Terminal Viaduct,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,501,49,,,,,,120,7171,
Queens,Astoria (Central),NW 29th Street & 31st Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,,,,,,114,7055,
Queens,Sunnyside,Woodside Sunnyside Composting,"38-63-38-1 50th St, Woodside, NY 11377",Volunteers at Woodside Sunnyside Composting,Year Round,"Sundays (Start Time: 2:00 PM - End Time:  5:00 PM (Spring, Summer))","Not accepted: meat, bones, or dairy",https://www.woodsidesunnysidecomposting.org/,402,26,,,,40.75013,-73.91369,108,7143,POINT (-73.91369 40.75013)
Manhattan,East Harlem (North),Rodale Pleasant Park Community Garden,"437 E 114th St, New York, NY 10029",Rodale Pleasant Park Community Garden,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"To volunteer, email Flosparks0306@gmail.com. Not accepted: meat, bones, or dairy",,111,8,,,,40.7942659,-73.9344142,23,6813,POINT (-73.9344142 40.7942659)
Queens,Astoria (Central),NW 31st Avenue & 35th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,,,,,,114,7050,
Bronx,Bedford Park,*CLOSED FOR THE SEASON* James Baldwin Outdoor Learning Center,"100 W Mosholu Pkwy S, The Bronx, NY 10468",Volunteers at James Baldwin Outdoor Learning Center,Spring - Fall,Saturdays (Start Time: 10:00 AM - End Time:  2:00 PM),"Site entrance is on the Goulden Ave side of campus. Not accepted: meat, bones, or dairy",https://www.jamesbaldwinoutdoorlearningcenter.org/,207,11,,,,40.88207,-73.88825,52,7111,POINT (-73.88825 40.88207)
Queens,Astoria (Central),SE 31st Avenue & 29th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,,,,,,114,7056,
Brooklyn,Bedford-Stuyvesant (East),NW Malcolm X Boulevard & Putnam Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,81,6841,
Brooklyn,Bushwick (West),SW St. Nicholas Avenue & Stockholm Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,6947,
Brooklyn,East New York-New Lots,East New York Farms: 400 Montauk Ave Block Association Garden,"392 Montauk Ave., Brooklyn, NY 11208",East New York Farms,March - November,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",ucceny.org/enyf-old/compost/,305,42,,,,40.66845,-73.87674,75,7079,POINT (-73.87674 40.66845)
Brooklyn,Bushwick (West),NE Bushwick Avenue & Jefferson Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,34,,,,,,83,6940,
Staten Island,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,Grace Foundation,460w Brielle Avenue,Grace Foundation,Year Round,Mondays (Start Time: 9:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",graceofny.org,502,50,,,,40.592723,-74.135113,122,7182,POINT (-74.135113 40.592723)
Manhattan,Washington Heights (South),NW Amsterdam Avenue & West 165th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,112,10,,,,,,33,6918,
Brooklyn,East Flatbush-Remsen Village,Howard Garden,750 Howard Avenue,Howard Garden,April - October,Fridays (Start Time: 9:00 AM - End Time:  10:00 AM),"Not accepted: meat, bones, or dairy",,316,41,,,,40.6636288,-73.9190362,73,6824,POINT (-73.9190362 40.6636288)
Queens,Ridgewood,Ridgewood,Cypress Ave btw Myrtle Ave. and Putnam Ave.,GrowNYC,Year Round,Saturdays (Start Time: 9:30 AM - End Time:  1:30 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,405,34,,,,40.7003,-73.906675,104,6979,POINT (-73.906675 40.7003)
Brooklyn,Prospect Heights,NE Underhill Avenue & Eastern Parkway,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,,,,,,77,6873,
Brooklyn,Gravesend (South),Avenue X at West Street,"SW corner of Avenue X and West Street, in front of Rite Aide, across from P.S.216",NYC Compost Project Hosted by LES Ecology Center,Year Round,Wednesdays (Start Time: 10:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,315,47,,,,40.590444,-73.970333,61,6786,POINT (-73.970333 40.590444)
Brooklyn,Bedford-Stuyvesant (West),SW Tompkins Avenue & Macon Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,79,6886,
Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Gowanus Salt Lot,"2 2nd Ave, Brooklyn, NY 11215",NYC Compost Project Hosted by Big Reuse,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",https://www.bigreuse.org/service/compost/,306,39,,,,40.67541,-73.99128,78,6772,POINT (-73.99128 40.67541)
Brooklyn,Dyker Heights,Leif Ericson Park Food Scrap Drop-off Site,Fort Hamilton Pkwy b/t 66 & 67 Streets,GrowNYC,Year Round,Wednesdays 8:30 AM - 12:30 PM,"Not accepted: meat, bones, or dairy",grownyc.org/compost,310,38,,,,40.62988,-74.010582,68,6759,POINT (-74.010582 40.62988)
Manhattan,Morningside Heights,SE Amsterdam Avenue & W 113 Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,109,7,,,,,,26,6754,
Queens,Corona,Malcolm X FSDO,"111-26 Northern Blvd, Flushing, NY 11368",NYC Compost Project Hosted by Big Reuse,Year Round,Tuesdays (Start Time: 12:00 PM - End Time:  2:00 PM),,,404,21,,,,40.7496855,-73.8630721,110,7018,POINT (-73.8630721 40.7496855)
Staten Island,Port Richmond,NW Innis Street & St Josephs Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,501,49,,,,,,121,7152,
Staten Island,New Springville-Willowbrook-Bulls Head-Travis,*CLOSED FOR THE SEASON* Staten Island Mall Greenmarket,"Staten Island Mall, Marsh Ave & Ring Rd, Staten Island, NY 10314",NYC Compost Project Hosted by Snug Harbor Cultural Center & Botanical Garden,June 11 - November 19,Saturdays (Start Time: 8:30 AM - End Time:  12:30 PM),"Not accepted: meat, bones, or dairy",snug-harbor.org,502,51,,,,40.583757,-74.161931,121,7150,POINT (-74.161931 40.583757)
Queens,Queensbridge-Ravenswood-Dutch Kills,SW 24th Street & 34th Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,26,,,,,,114,7036,
Manhattan,Washington Heights (South),NE West 174th Street & Fort Washington Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,112,10,,,,,,33,6920,
Queens,Long Island City-Hunters Point,Astoria Pug: Hunter's Point,46th Avenue and 5th Street,Astoria Pug,Year Round,Tuesdays (Start Time: 9:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",https://www.instagram.com/astoriapug/?hl=en,402,26,,,,40.74777,-73.95486,108,7139,POINT (-73.95486 40.74777)
Queens,Jackson Heights,Fordham Plaza Food Scrap Drop-off,E Fordham Rd between Webster Ave & Third Ave,GrowNYC,Year Round,Fridays (Start Time: 8:00 AM - End Time:  11:30 AM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,403,25,,,,40.755111,-73.890783,115,7023,POINT (-73.890783 40.755111)
Brooklyn,Crown Heights (South),Crown Heights,Nostrand Ave & Crown St,GrowNYC,Year Round,Fridays (Start Time: 9:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,309,35,,,,40.666485,-73.950935,71,6905,POINT (-73.950935 40.666485)
Bronx,Riverdale-Spuyten Duyvil,Riverdale Neighborhood House,"5521 Mosholu Ave Bronx, NY 10471",Riverdale Neighborhood House,Year Round,Thursdays (Start Time: 1:00 PM - End Time:  6:00 PM),"Not accepted: meat, bones, or dairy",https://www.riverdaleonline.org/,208,11,,,,40.9035436,-73.9038447,50,7120,POINT (-73.9038447 40.9035436)
Bronx,Longwood,Kelly Street Garden,"924 Kelly St, The Bronx, NY 10459",Volunteers at Kelly Street Garden,Year Round,Saturdays (Start Time: 10:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.facebook.com/kellyst.garden/,202,17,,,,40.820124,-73.895674,41,7004,POINT (-73.895674 40.820124)
Brooklyn,Bedford-Stuyvesant (West),NE Bedford Avenue & Hancock Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,79,6888,
Queens,Rockaway Beach-Arverne-Edgemere,*CLOSED FOR THE SEASON* Far Rock Urban Agro-Education Center,"45-55 Beach Channel Dr, Far Rockaway, NY, 11691",,July - November,Tuesdays & Thursdays (Start Time: 10:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",,414,31,,,,40.59549,-73.77648,101,7167,POINT (-73.77648 40.59549)
Manhattan,Chelsea-Hudson Yards,Hudson River Park's Pier 76 at W. 34th St.,Pier 76 at 34th Street and 12th Ave outside of compost yard South of 34th St,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),"Not accepted: meat, bones, or dairy",https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,3,,,,40.756032,-74.006046,10,6740,POINT (-74.006046 40.756032)
Queens,Queensbridge-Ravenswood-Dutch Kills,Commuter Composting at 21 St-Queensbridge F,NW Corner of 21st street at 41st Ave,NYC Compost Project Hosted by Big Reuse,Year Round,Tuesdays (Start Time: 8:00 AM - End Time:  10:00 AM),"Not accepted: meat, bones, or dairy",,401,26,,,,40.7536858,-73.9422838,114,7035,POINT (-73.9422838 40.7536858)
Manhattan,East Harlem (North),SW East 118th Street & 1 Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,111,8,,,,,,25,6809,
Bronx,Soundview-Bruckner-Bronx River,SW Beach Avenue & East 172nd Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,209,18,,,,,,43,7008,
Brooklyn,Bay Ridge,Bay Ridge,3rd Ave & 95th Street,GrowNYC,Year Round,Saturdays (Start Time: 8:00 AM - End Time:  12:30 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,310,47,,,,40.6174,-74.033703,68,6761,POINT (-74.033703 40.6174)
Bronx,Concourse-Concourse Village,BronxWorks Carolyn McLaughlin Community Center,1130 Grand Concourse,GrowNYC,Year Round,Thursdays (Start Time: 10:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,204,16,,,,40.83268,-73.918805,44,6993,POINT (-73.918805 40.83268)
Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Christ Church Community Compost,326 Clinton Street,Volunteers at Christ Church,Year Round,Sundays & Wednesdays (Start Time: Sundays at 9 am; Wednesdays at 7 pm - End Time:  Sundays at 10 am; Wednesdays at 8 pm),"Not accepted: meat, bones, or dairy",www.christchurchcobblehill.net,306,39,,,,40.68596,-73.99701,76,6782,POINT (-73.99701 40.68596)
Queens,Springfield Gardens (North)-Rochdale Village,Brewer Food Scrap Drop-off Site,Guy R Brewer Blvd and Baisley Blvd. (Corner Near Walgreens),NYC Compost Project Hosted by Big Reuse,Year Round,Wednesdays (Start Time: 10:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",,412,28,,,,40.678179,-73.77964,113,7162,POINT (-73.77964 40.678179)
Queens,Long Island City-Hunters Point,Smiling Hogshead Ranch,"Pearson Pl & Skillman Ave, Queens, NY 11101",Volunteers at Smiling Hogshead Ranch,Year Round,Every day (Start Time: Dawn - End Time:  Dusk),,smilinghogsheadranch.org,402,26,,,,40.7432328,-73.9431336,108,7140,POINT (-73.9431336 40.7432328)
Manhattan,West Village,Hudson River Park's Pier 40 at W. Houston St.,Pier 40 at Houston St. near dog park,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),"Not accepted: meat, bones, or dairy",https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,102,3,,,,40.7298117,-74.0110087,6,6898,POINT (-74.0110087 40.7298117)
Brooklyn,Bedford-Stuyvesant (West),SW Nostrand Avenue & Greene Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,79,6893,
Bronx,Westchester Square,NW Zerega Avenue & Waterbury Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,210,18,,,,,,45,7125,
Queens,Old Astoria-Hallets Point,SW 21st Street & 30th Drive,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,,,,,,114,7066,
Manhattan,Midtown South-Flatiron-Union Square,Union Square Greenmarket,"E 17th St & Union Square E, New York, NY",NYC Compost Project Hosted by LES Ecology Center,Year Round,"Mondays, Wednesdays, Fridays, and Saturdays (Start Time: 8:00 AM - End Time:  5:00 PM)","Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,105,2,,,,40.73661,-73.9893,13,6903,POINT (-73.9893 40.73661)
Queens,Glendale,Glendale Community Garden,"74-10 88th St, Glendale, NY 11385",Volunteers at Glendale Community Garden,Year Round,Fridays and Saturdays (Start Time: 11:00 AM - End Time:  4:00 PM),"Not accepted: meat, bones, or dairy",,405,32,,,,40.707547,-73.864884,104,6980,POINT (-73.864884 40.707547)
Brooklyn,Kensington,Kensington Food Scrap Drop-off,McDonald Ave & Albemarle Rd,GrowNYC,Year Round,Saturdays (Start Time: 8:30 AM - End Time:  11:30 AM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,312,39,,,,40.64496,-73.98016,66,6925,POINT (-73.98016 40.64496)
Queens,College Point,College Point FSDO,College Point Blvd & 14th Ave,Coastal Preservation Network,Year Round,Fridays (Start Time: 8:30 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",www.coastalpreservation.org,407,19,,,,40.7859379,-73.8458402,109,7157,POINT (-73.8458402 40.7859379)
Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Big Reuse Warehouse,"1 12th St, Brooklyn NY 11215",NYC Compost Project Hosted by Big Reuse,Year Round,Every Day (Start Time: 10:00 AM - End Time:  6:00 PM),"Not accepted: meat, bones, or dairy",https://www.bigreuse.org/service/compost/,306,38,,,,40.672077,-73.996401,78,6771,POINT (-73.996401 40.672077)
Bronx,Norwood,Keepers House Edible Garden,3400 Reservoir Oval East,Friends of Mosholu Parkland,Year Round,Every day (Start Time: 9:00 AM - End Time:  8:00 PM),"Not accepted: meat, bones, or dairy",www.mpcbronx.org,207,11,,,,40.87896,-73.87585,52,7113,POINT (-73.87585 40.87896)
Manhattan,Harlem (North),NW West 141st Street & Fredrick Douglas Blvd,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,110,9,,,,,,32,6793,
Staten Island,St. George-New Brighton,SE Stuyvesant Place & Schuyler Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,501,49,,,,,,120,7172,
Manhattan,Chelsea-Hudson Yards,Hudson River Park's Chelsea Waterside Park at W. 23rd St.,Chelsea Waterside Park near the playground,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),"Not accepted: meat, bones, or dairy",https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,3,,,,40.7489842,-74.0071142,10,6739,POINT (-74.0071142 40.7489842)
Manhattan,East Harlem (North),Uptown Grand Central Fresh Food Box,"Park Ave &, E 125th St",Uptown Grand Central,Year Round,Wednesdays (Start Time: 2:00 PM - End Time:  7:00 PM),,,111,9,,,,40.8049824,-73.9390315,25,6802,POINT (-73.9390315 40.8049824)
Bronx,Pelham Bay-Country Club-City Island,SW Jarvis Avenue & Roberts Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,210,13,,,,,,45,7130,
Brooklyn,Crown Heights (North),SE Classon Avenue & Eastern Parkway,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,,,,,,77,6871,
Queens,Queensbridge-Ravenswood-Dutch Kills,NW Queens Plaza North & 21st Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,26,,,,,,114,7040,
Queens,Forest Hills,Commonpoint Queens in partnership with The Forest Hills Green Team,"NE corner of 67 Rd & 108th Street 67-09 108th St, Forest Hills, NY 11375",Forest Hills Green Team,Year Round,Sundays (Start Time: 10:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",commonpointqueens.org,406,29,,,,40.728415,-73.84711,112,7135,POINT (-73.84711 40.728415)
Manhattan,Tribeca-Civic Center,SmartComposting: Broadway & Park Place,Broadway and Park Place (Northwest corner),Alliance for Downtown New York,Year Round,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",https://downtownny.com/compost/,101,1,,,,40.712653,-74.007723,1,6718,POINT (-74.007723 40.712653)
Brooklyn,Crown Heights (North),NW New York Avenue & Dean Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,36,,,,,,77,6849,
Brooklyn,Bushwick (West),NW St. Nicholas Avenue & Himrod Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,6948,
Bronx,Mount Eden-Claremont (West),SE Eastburn Avenue & East 174th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,204,15,,,,,,44,7003,
Brooklyn,Bedford-Stuyvesant (East),NE Lewis Avenue & Bainbridge Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,81,6834,
Bronx,Tremont,La Familia Verde Farmer's Market,Tremont Ave between LaFontaine and Arthur Ave (Tremont Park),Volunteers at La Familia Verde Farmers Market,July- November 16 2021,Tuesdays (Start Time: 8:00 AM - End Time:  2:00 PM),"Visit the Center Farm stand to drop off your food scraps. Not accepted: meat, bones, or dairy",http://www.lafamiliaverde.org/,206,15,,,,40.846468,-73.894107,48,7098,POINT (-73.894107 40.846468)
Queens,Jackson Heights,CLOSED FOR THE SEASON: Farm Spot CSA,33-50 82nd street,Volunteers at Farm Spot,June 23-Oct 27,Thursdays (Start Time: 6:00 PM - End Time:  7:30 PM),"Not accepted: meat, bones, or dairy",Farmspot.org,403,25,283,4012540032,4028776,40.754004,-73.885483,115,7025,POINT (-73.885483 40.754004)
Bronx,Highbridge,NE West 166th St & Dr. Martin Luther King Jr Boulevard,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,204,16,,,,,,44,6997,
Brooklyn,Prospect Park,Grand Army Plaza Greenmarket,Flatbush Ave & Prospect Park W (Prospect Park entrance),GrowNYC,Year Round,Saturdays (Start Time: 8:00 AM - End Time:  3:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,355,39,,,,40.671899,-73.969673,78,6778,POINT (-73.969673 40.671899)
Bronx,Soundview-Clason Point,NE White Plains Road & Randall Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,209,18,,,,,,43,7012,
Brooklyn,Flatbush (West)-Ditmas Park-Parkville,Q Gardens,"58 E 18th St, Brooklyn, NY 11226",Q Gardens,Year Round,"Tuesdays, Fridays, Saturdays, and Sundays (Start Time: Tuesday 6pm; Friday - Sunday dawn - End Time:  Tuesday 8pm; Fridays + Saturdays all night; Sundays until 4:00PM)","Not accepted: meat, bones, or dairy",https://qgardenscf.com/places-to-drop-off-your-compost/,314,40,,,,40.649778,-73.963194,70,7071,POINT (-73.963194 40.649778)
Brooklyn,Bushwick (East),NE Bushwick Avenue & Palmetto Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,6965,
Manhattan,Washington Heights (North),NW Audubon Avenue & West 192nd Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,112,10,,,,,,34,6910,
Brooklyn,Windsor Terrace-South Slope,*CLOSED FOR THE SEASON* East 4th Street Community Garden,"173 E 4th St, Brooklyn, NY 11218",Members at East 4th Street Community Garden,April - October,"Wednesdays and Saturdays (Start Time: Wednesdays 4:30 PM, Saturdays 9 AM & Sundays 10 AM - End Time:  Wednesdays 6:30 PM, Saturdays 1 PM, Sundays 2 PM)","Not accepted: meat, bones, or dairy",https://eastfourthstreetgarden.tumblr.com/,307,39,,,,40.6483066,-73.9772287,72,6765,POINT (-73.9772287 40.6483066)
Bronx,Belmont,SE East 183 Street & Cambreleng Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,206,15,,,,,,48,7103,
Manhattan,East Harlem (North),Pleasant Village Community Garden,o	Along gates on the southside of 119th Street between Pleasant Avenue and FDR Drive,Pleasant Village Community Garden,Year Round,Every day (Start Time: Dawn - End Time:  Dusk),"Not accepted: meat, bones, or dairy",http://facebook.com/pleasantvillagecommunitygarden,111,8,,,,40.796764,-73.931341,25,6807,POINT (-73.931341 40.796764)
Brooklyn,Bushwick (East),Wilson Ave Food Scrap Drop-off,Wilson Ave & Moffat St (near L train),GrowNYC,Year Round,Thursdays (Start Time: 9:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,304,37,,,,40.688793,-73.904826,83,6954,POINT (-73.904826 40.688793)
